epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,281.366,1.29302,0.04616,0.04677,0.86791,0.99372,0.86583,0.74805,0.83181,0.51427,0.84923,0.80726,0.88476,0.88001,1.2628,0.03393,0.00358,0.84484,0.9841,0.0017426,0.0017426,0.0017426
28,291.411,1.26774,0.04436,0.04413,0.85292,1.00502,0.8531,0.74441,0.8287,0.51258,0.86627,0.77514,0.87671,0.87442,1.26559,0.03185,0.00683,0.88406,0.97444,0.0017327,0.0017327,0.0017327
29,301.542,1.3008,0.04843,0.04322,0.852,0.99678,0.83373,0.74022,0.82237,0.51007,0.85988,0.77138,0.86345,0.86123,1.23758,0.03263,0.00859,0.90304,0.96732,0.0017228,0.0017228,0.0017228
30,311.754,1.26395,0.04171,0.04183,0.84858,0.99616,0.8313,0.76536,0.83117,0.51819,0.85441,0.82784,0.89646,0.89393,1.22869,0.02922,0.00405,0.81591,0.97611,0.0017129,0.0017129,0.0017129
31,321.847,1.25843,0.04256,0.04117,0.83873,0.99028,0.84958,0.75728,0.83719,0.53223,0.88203,0.80726,0.89244,0.89004,1.22733,0.02979,0.00498,0.88079,0.97056,0.001703,0.001703,0.001703
32,332.04,1.28035,0.04089,0.04774,0.84972,1.0021,0.83484,0.75,0.82479,0.50694,0.86567,0.77404,0.87332,0.87125,1.25124,0.03284,0.00268,0.8963,0.97946,0.0016931,0.0016931,0.0016931
33,342.212,1.25742,0.04215,0.04651,0.84362,0.99229,0.86107,0.74442,0.83104,0.52298,0.88091,0.78518,0.88251,0.88021,1.20139,0.03095,0.00874,0.82902,0.96385,0.0016832,0.0016832,0.0016832
34,352.353,1.25515,0.04188,0.04738,0.83014,1.0002,0.86168,0.7486,0.82935,0.52732,0.88856,0.77514,0.87989,0.87821,1.23187,0.03095,0.00357,0.8698,0.96917,0.0016733,0.0016733,0.0016733
35,362.467,1.23906,0.04168,0.04339,0.82545,0.98414,0.82809,0.74007,0.80582,0.49139,0.84967,0.77654,0.86204,0.85938,1.27482,0.03174,0.00349,1.01484,0.9737,0.0016634,0.0016634,0.0016634
36,372.659,1.24572,0.04063,0.03987,0.82391,0.97123,0.8341,0.77235,0.8381,0.52753,0.85876,0.81425,0.89285,0.8909,1.21666,0.02879,0.0029,0.86431,0.96165,0.0016535,0.0016535,0.0016535
37,382.891,1.22344,0.04005,0.04191,0.80729,0.97984,0.86168,0.72216,0.81879,0.51667,0.89501,0.75009,0.87281,0.87023,1.25017,0.03081,0.0049,0.88607,0.96805,0.0016436,0.0016436,0.0016436
38,393.128,1.22775,0.0395,0.03959,0.80527,0.97352,0.85559,0.77374,0.84773,0.53421,0.86346,0.81145,0.89141,0.88987,1.20826,0.02964,0.00369,0.83208,0.96689,0.0016337,0.0016337,0.0016337
39,403.419,1.22801,0.04127,0.04565,0.81325,0.96707,0.8157,0.77374,0.8387,0.53287,0.85603,0.81145,0.89341,0.89186,1.23458,0.02915,0.00393,0.8125,0.97465,0.0016238,0.0016238,0.0016238
40,413.812,1.21948,0.03948,0.04394,0.80491,0.97835,0.82799,0.75,0.81977,0.51249,0.85327,0.7905,0.87039,0.86774,1.21682,0.03172,0.00405,0.98096,0.96306,0.0016139,0.0016139,0.0016139
41,424.046,1.19041,0.03877,0.04405,0.78342,0.96419,0.85563,0.7514,0.83557,0.53096,0.8806,0.7905,0.89044,0.88829,1.23504,0.0297,0.00717,0.83074,0.96446,0.001604,0.001604,0.001604
42,434.251,1.2142,0.04031,0.0455,0.7966,0.98012,0.84784,0.76536,0.83532,0.52859,0.86843,0.79279,0.88396,0.88232,1.22845,0.02921,0.00526,0.83253,0.96881,0.0015941,0.0015941,0.0015941
