json_name,image_name,image_width,image_height,num_boxes,num_points,num_matched,num_unmatched_boxes,num_unused_points,num_multi_point_boxes,num_expanded_matches,num_conflict_unmatched
IMG_20251113_162908_tile_r0_c1.json,IMG_20251113_162908_tile_r0_c1.jpg,2048,1536,15,20,13,2,7,1,0,0
IMG_20251113_162908_tile_r1_c0.json,IMG_20251113_162908_tile_r1_c0.jpg,2048,1536,12,14,11,1,3,0,1,0
IMG_20251113_162908_tile_r1_c1.json,IMG_20251113_162908_tile_r1_c1.jpg,2048,1536,19,20,15,4,5,3,0,0
IMG_20251113_162910_tile_r0_c0.json,IMG_20251113_162910_tile_r0_c0.jpg,2048,1536,16,28,15,1,13,3,0,0
IMG_20251113_162910_tile_r0_c1.json,IMG_20251113_162910_tile_r0_c1.jpg,2048,1536,16,22,13,3,9,3,0,1
IMG_20251113_162910_tile_r1_c0.json,IMG_20251113_162910_tile_r1_c0.jpg,2048,1536,19,25,16,3,9,6,0,1
IMG_20251113_162910_tile_r1_c1.json,IMG_20251113_162910_tile_r1_c1.jpg,2048,1536,14,10,10,4,0,0,0,1
IMG_20251113_162913_tile_r0_c0.json,IMG_20251113_162913_tile_r0_c0.jpg,2048,1536,20,26,18,2,8,2,0,0
IMG_20251113_162913_tile_r0_c1.json,IMG_20251113_162913_tile_r0_c1.jpg,2048,1536,13,13,7,6,6,1,0,0
IMG_20251113_162913_tile_r1_c0.json,IMG_20251113_162913_tile_r1_c0.jpg,2048,1536,31,32,30,1,2,6,0,0
IMG_20251113_162913_tile_r1_c1.json,IMG_20251113_162913_tile_r1_c1.jpg,2048,1536,31,36,28,3,8,5,0,0
IMG_20251113_162923_tile_r0_c0.json,IMG_20251113_162923_tile_r0_c0.jpg,2048,1536,16,20,15,1,5,1,0,0
IMG_20251113_162923_tile_r0_c1.json,IMG_20251113_162923_tile_r0_c1.jpg,2048,1536,6,9,6,0,3,0,1,0
IMG_20251113_162923_tile_r1_c0.json,IMG_20251113_162923_tile_r1_c0.jpg,2048,1536,16,16,13,3,3,3,0,0
IMG_20251113_162923_tile_r1_c1.json,IMG_20251113_162923_tile_r1_c1.jpg,2048,1536,7,7,5,2,2,0,0,0
IMG_20251113_162930_tile_r0_c0.json,IMG_20251113_162930_tile_r0_c0.jpg,2048,1536,13,14,10,3,4,1,0,1
IMG_20251113_162930_tile_r0_c1.json,IMG_20251113_162930_tile_r0_c1.jpg,2048,1536,7,9,7,0,2,1,0,0
IMG_20251113_162930_tile_r1_c0.json,IMG_20251113_162930_tile_r1_c0.jpg,2048,1536,17,17,14,3,3,3,0,1
IMG_20251113_162930_tile_r1_c1.json,IMG_20251113_162930_tile_r1_c1.jpg,2048,1536,14,12,11,3,1,1,0,0
IMG_20251113_162933_tile_r0_c0.json,IMG_20251113_162933_tile_r0_c0.jpg,2048,1536,15,17,14,1,3,1,0,0
IMG_20251113_162933_tile_r0_c1.json,IMG_20251113_162933_tile_r0_c1.jpg,2048,1536,12,12,10,2,2,2,0,0
IMG_20251113_162933_tile_r1_c0.json,IMG_20251113_162933_tile_r1_c0.jpg,2048,1536,12,11,10,2,1,1,0,0
IMG_20251113_162933_tile_r1_c1.json,IMG_20251113_162933_tile_r1_c1.jpg,2048,1536,6,8,6,0,2,0,0,0
IMG_20251113_163034_tile_r0_c0.json,IMG_20251113_163034_tile_r0_c0.jpg,2048,1536,18,22,17,1,5,3,0,1
IMG_20251113_163034_tile_r0_c1.json,IMG_20251113_163034_tile_r0_c1.jpg,2048,1536,21,26,18,3,8,3,0,0
IMG_20251113_163034_tile_r1_c0.json,IMG_20251113_163034_tile_r1_c0.jpg,2048,1536,12,11,11,1,0,1,0,0
IMG_20251113_163034_tile_r1_c1.json,IMG_20251113_163034_tile_r1_c1.jpg,2048,1536,14,16,12,2,4,0,0,0
IMG_20251113_163039_tile_r0_c0.json,IMG_20251113_163039_tile_r0_c0.jpg,2048,1536,31,28,24,7,4,7,0,1
IMG_20251113_163039_tile_r0_c1.json,IMG_20251113_163039_tile_r0_c1.jpg,2048,1536,21,17,14,7,3,2,0,1
IMG_20251113_163039_tile_r1_c0.json,IMG_20251113_163039_tile_r1_c0.jpg,2048,1536,23,23,21,2,2,3,0,0
IMG_20251113_163039_tile_r1_c1.json,IMG_20251113_163039_tile_r1_c1.jpg,2048,1536,24,24,22,2,2,3,0,0
IMG_20251113_163041_tile_r0_c0.json,IMG_20251113_163041_tile_r0_c0.jpg,2048,1536,12,11,9,3,2,1,0,1
IMG_20251113_163041_tile_r0_c1.json,IMG_20251113_163041_tile_r0_c1.jpg,2048,1536,22,28,21,1,7,6,0,1
IMG_20251113_163041_tile_r1_c0.json,IMG_20251113_163041_tile_r1_c0.jpg,2048,1536,27,29,25,2,4,6,0,1
IMG_20251113_163041_tile_r1_c1.json,IMG_20251113_163041_tile_r1_c1.jpg,2048,1536,25,22,20,5,2,2,1,1
IMG_20251113_163044_tile_r0_c0.json,IMG_20251113_163044_tile_r0_c0.jpg,2048,1536,28,24,21,7,3,4,1,2
IMG_20251113_163044_tile_r0_c1.json,IMG_20251113_163044_tile_r0_c1.jpg,2048,1536,33,34,29,4,5,9,0,0
IMG_20251113_163044_tile_r1_c0.json,IMG_20251113_163044_tile_r1_c0.jpg,2048,1536,34,40,33,1,7,10,0,0
