epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,431.68,1.57399,0.06244,0.07275,1.38335,1.42959,0.70453,0.61872,0.68091,0.38145,0.73109,0.67587,0.74962,0.74619,1.40752,0.04447,0.0204,1.21834,1.35112,0.0017426,0.0017426,0.0017426
28,446.482,1.56973,0.05942,0.06525,1.3686,1.44811,0.72263,0.62709,0.68771,0.38116,0.75929,0.68726,0.75999,0.75567,1.42526,0.04164,0.01067,1.25732,1.35324,0.0017327,0.0017327,0.0017327
29,461.421,1.55929,0.06554,0.06609,1.3321,1.4171,0.71138,0.59218,0.66694,0.36115,0.7379,0.64246,0.73203,0.72864,1.46351,0.04583,0.00961,1.34801,1.36635,0.0017228,0.0017228,0.0017228
30,476.271,1.54239,0.05572,0.06186,1.30026,1.41595,0.70866,0.63128,0.68933,0.38886,0.74314,0.69832,0.76756,0.76483,1.41225,0.04059,0.00802,1.19157,1.34166,0.0017129,0.0017129,0.0017129
31,491.052,1.54693,0.05614,0.0605,1.32676,1.41913,0.715,0.64525,0.70675,0.40616,0.75205,0.68624,0.77501,0.77303,1.40352,0.03788,0.01047,1.17427,1.33028,0.001703,0.001703,0.001703
32,505.969,1.5317,0.05598,0.07144,1.30603,1.41196,0.71647,0.64246,0.69623,0.40129,0.76639,0.69189,0.76704,0.76398,1.38085,0.03815,0.01062,1.19262,1.32398,0.0016931,0.0016931,0.0016931
33,520.857,1.54027,0.05629,0.06787,1.31029,1.42105,0.76369,0.64246,0.71518,0.41165,0.77406,0.70251,0.78229,0.77976,1.34558,0.03951,0.01347,1.18178,1.31835,0.0016832,0.0016832,0.0016832
34,535.745,1.54385,0.05581,0.06402,1.30342,1.43023,0.7272,0.64665,0.69943,0.39923,0.75908,0.71288,0.7797,0.7768,1.38577,0.03724,0.0085,1.16819,1.34602,0.0016733,0.0016733,0.0016733
35,550.732,1.4992,0.0561,0.06635,1.28361,1.38174,0.75778,0.64106,0.72381,0.41317,0.79251,0.68815,0.79074,0.78735,1.36473,0.03833,0.00911,1.19584,1.31256,0.0016634,0.0016634,0.0016634
36,565.585,1.47114,0.05242,0.05801,1.22053,1.34357,0.74491,0.6662,0.72145,0.41038,0.75889,0.71214,0.78554,0.7827,1.38225,0.03526,0.00974,1.12189,1.31267,0.0016535,0.0016535,0.0016535
37,580.401,1.49722,0.05176,0.06098,1.23515,1.38794,0.72688,0.60894,0.68721,0.40399,0.76273,0.65084,0.75599,0.75362,1.34578,0.03842,0.01549,1.17124,1.31031,0.0016436,0.0016436,0.0016436
38,595.426,1.47067,0.05301,0.05385,1.20997,1.35251,0.75529,0.64246,0.72579,0.42879,0.77036,0.71648,0.79896,0.7963,1.3612,0.0378,0.00678,1.13772,1.29631,0.0016337,0.0016337,0.0016337
39,610.353,1.47024,0.05264,0.06229,1.22061,1.34489,0.75834,0.67179,0.74398,0.41925,0.78612,0.72207,0.8028,0.8003,1.37821,0.03369,0.0088,1.16683,1.29863,0.0016238,0.0016238,0.0016238
40,625.669,1.47796,0.05308,0.06097,1.24401,1.37029,0.75818,0.69413,0.73723,0.42919,0.79836,0.74022,0.8084,0.80567,1.36111,0.03526,0.00432,1.17724,1.2927,0.0016139,0.0016139,0.0016139
41,640.945,1.45055,0.05033,0.05905,1.19092,1.34851,0.74465,0.6639,0.73324,0.42286,0.77741,0.74144,0.80905,0.80738,1.3533,0.03556,0.00834,1.16908,1.297,0.001604,0.001604,0.001604
42,655.986,1.45555,0.05154,0.05897,1.20078,1.35144,0.74116,0.64525,0.71818,0.4071,0.79042,0.68994,0.7963,0.79294,1.37713,0.03522,0.00418,1.11639,1.29333,0.0015941,0.0015941,0.0015941
43,670.864,1.45893,0.05193,0.05865,1.19826,1.34951,0.74003,0.72067,0.75614,0.43057,0.77933,0.76456,0.82838,0.82604,1.36988,0.03267,0.0038,1.0811,1.30624,0.0015842,0.0015842,0.0015842
44,685.756,1.41565,0.04834,0.05614,1.15611,1.30539,0.75959,0.69972,0.74506,0.44158,0.79928,0.73743,0.80422,0.80243,1.30787,0.03358,0.00407,1.17785,1.26123,0.0015743,0.0015743,0.0015743
45,700.834,1.44285,0.0487,0.05613,1.18131,1.35517,0.77475,0.67598,0.75813,0.4375,0.78893,0.73743,0.8182,0.8163,1.31223,0.03498,0.00591,1.12578,1.26726,0.0015644,0.0015644,0.0015644
46,715.749,1.42443,0.04987,0.0556,1.16344,1.31158,0.7642,0.69693,0.7541,0.44802,0.78442,0.74721,0.8141,0.81088,1.32444,0.03197,0.00574,1.06433,1.26788,0.0015545,0.0015545,0.0015545
47,730.657,1.42342,0.04842,0.05724,1.15246,1.31588,0.77021,0.68815,0.75469,0.41675,0.80451,0.73603,0.81905,0.81519,1.38251,0.03645,0.00508,1.16901,1.30768,0.0015446,0.0015446,0.0015446
48,745.672,1.41736,0.04754,0.05577,1.16351,1.32622,0.72837,0.71788,0.73305,0.42598,0.76379,0.75279,0.79936,0.79638,1.33628,0.03376,0.01082,1.12496,1.28723,0.0015347,0.0015347,0.0015347
49,760.606,1.39419,0.04577,0.05577,1.13757,1.31188,0.73899,0.74022,0.77492,0.45432,0.77799,0.7905,0.83907,0.8365,1.29768,0.03109,0.00586,1.06268,1.26718,0.0015248,0.0015248,0.0015248
50,775.623,1.41635,0.04896,0.0548,1.15144,1.32779,0.75419,0.73276,0.76683,0.4429,0.78457,0.78352,0.82845,0.82659,1.32489,0.03123,0.00418,1.10446,1.26915,0.0015149,0.0015149,0.0015149
51,790.659,1.4149,0.04789,0.04985,1.15555,1.32343,0.77732,0.69717,0.7627,0.45142,0.81173,0.72861,0.81716,0.81564,1.31517,0.03142,0.00588,1.02002,1.26849,0.001505,0.001505,0.001505
52,805.589,1.39791,0.04523,0.05275,1.12916,1.31132,0.78424,0.69693,0.76227,0.44111,0.7896,0.7514,0.81798,0.81507,1.34488,0.03158,0.00505,1.07337,1.26514,0.0014951,0.0014951,0.0014951
53,820.508,1.39737,0.04701,0.05261,1.12389,1.30874,0.77771,0.68156,0.77042,0.46069,0.78722,0.7486,0.8384,0.83664,1.31255,0.03168,0.00444,1.03432,1.26471,0.0014852,0.0014852,0.0014852
54,835.431,1.38803,0.0459,0.05107,1.12306,1.30495,0.7434,0.71927,0.76601,0.44143,0.77879,0.76214,0.82895,0.82664,1.34766,0.03137,0.00332,1.06255,1.28068,0.0014753,0.0014753,0.0014753
55,850.291,1.37631,0.04442,0.04693,1.0997,1.28152,0.74795,0.73772,0.78053,0.46582,0.80127,0.76536,0.84054,0.83904,1.30264,0.03089,0.00651,1.01738,1.24848,0.0014654,0.0014654,0.0014654
56,865.08,1.36084,0.04374,0.05058,1.09819,1.27952,0.77121,0.66381,0.7338,0.42449,0.77065,0.74147,0.79687,0.79398,1.33432,0.03318,0.00421,1.08794,1.26701,0.0014555,0.0014555,0.0014555
