epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,339.389,1.70832,0.07685,0.06352,1.22695,1.24767,0.67903,0.61592,0.65017,0.34504,0.71377,0.67598,0.72955,0.72501,1.52719,0.04824,0.0058,1.18388,1.17367,0.0017426,0.0017426,0.0017426
28,351.085,1.71021,0.07192,0.06596,1.23199,1.27828,0.74425,0.57263,0.65853,0.35423,0.7168,0.67458,0.74071,0.73808,1.54056,0.04764,0.00905,1.12414,1.17174,0.0017327,0.0017327,0.0017327
29,362.721,1.69528,0.07615,0.0616,1.19917,1.2414,0.71909,0.61313,0.66922,0.35715,0.74347,0.66061,0.73628,0.73452,1.54308,0.04851,0.00842,1.1191,1.16388,0.0017228,0.0017228,0.0017228
30,374.442,1.6835,0.06863,0.06118,1.19601,1.2515,0.67266,0.61732,0.64378,0.32779,0.70176,0.67179,0.72304,0.72119,1.59782,0.04815,0.00649,1.19912,1.18129,0.0017129,0.0017129,0.0017129
31,386.218,1.65108,0.07197,0.05926,1.18356,1.244,0.71283,0.62989,0.67639,0.36686,0.74449,0.68017,0.7536,0.75154,1.5187,0.04694,0.0036,1.14128,1.14769,0.001703,0.001703,0.001703
32,397.914,1.64346,0.06888,0.07113,1.18588,1.24802,0.75538,0.61034,0.67768,0.36705,0.77137,0.68017,0.7584,0.7562,1.47364,0.04696,0.00613,1.06934,1.15805,0.0016931,0.0016931,0.0016931
33,409.632,1.64372,0.07086,0.06575,1.18064,1.2607,0.69683,0.62011,0.6672,0.35925,0.72513,0.68532,0.74098,0.7381,1.49214,0.04851,0.00454,1.13617,1.15,0.0016832,0.0016832,0.0016832
34,421.307,1.63646,0.06761,0.06769,1.16345,1.25607,0.73842,0.62293,0.68681,0.3779,0.77787,0.67179,0.76099,0.75879,1.44394,0.04542,0.00669,1.05014,1.1376,0.0016733,0.0016733,0.0016733
35,433.059,1.60579,0.0666,0.0629,1.14575,1.22181,0.74111,0.63408,0.69771,0.38615,0.76232,0.70112,0.77001,0.76757,1.42278,0.0427,0.01022,1.02971,1.13562,0.0016634,0.0016634,0.0016634
36,444.717,1.59484,0.06455,0.05611,1.12142,1.19688,0.72493,0.60615,0.66842,0.36527,0.75683,0.65503,0.74197,0.73831,1.50697,0.04699,0.00297,1.12148,1.14798,0.0016535,0.0016535,0.0016535
37,456.435,1.62099,0.06445,0.05964,1.11938,1.22924,0.73273,0.61872,0.68997,0.38832,0.74811,0.67318,0.7655,0.76356,1.42502,0.04632,0.00558,1.07125,1.1185,0.0016436,0.0016436,0.0016436
38,468.122,1.5734,0.06436,0.05341,1.07348,1.19747,0.77257,0.6662,0.73097,0.40397,0.77199,0.73767,0.79874,0.79751,1.45137,0.04352,0.00376,0.99302,1.14204,0.0016337,0.0016337,0.0016337
39,480.537,1.59078,0.06669,0.06079,1.11047,1.20346,0.75408,0.64804,0.70396,0.38859,0.75758,0.69833,0.77047,0.76835,1.45497,0.04665,0.00202,1.09494,1.13982,0.0016238,0.0016238,0.0016238
40,492.52,1.59584,0.06612,0.0623,1.12234,1.21374,0.75489,0.63966,0.71019,0.39122,0.79862,0.68127,0.77858,0.77578,1.46364,0.04748,0.00426,1.04799,1.12991,0.0016139,0.0016139,0.0016139
41,504.138,1.57012,0.06401,0.06218,1.13779,1.20239,0.75183,0.6643,0.72475,0.40921,0.79814,0.71229,0.79632,0.79486,1.42945,0.04136,0.00359,1.05684,1.11692,0.001604,0.001604,0.001604
42,515.783,1.59853,0.06599,0.06079,1.10191,1.21963,0.75898,0.66409,0.73305,0.40406,0.80463,0.70112,0.80446,0.80012,1.464,0.04046,0.0028,1.00516,1.13481,0.0015941,0.0015941,0.0015941
43,527.454,1.57141,0.06489,0.05939,1.11487,1.2138,0.75813,0.65223,0.7294,0.40361,0.80014,0.70391,0.79745,0.79506,1.44052,0.04098,0.00702,1.0275,1.12303,0.0015842,0.0015842,0.0015842
44,539.176,1.53886,0.06368,0.05923,1.0724,1.17802,0.76282,0.64106,0.71467,0.39234,0.76226,0.7067,0.78088,0.77777,1.45134,0.04414,0.00363,1.02994,1.12363,0.0015743,0.0015743,0.0015743
45,550.802,1.56026,0.06256,0.06167,1.0895,1.21453,0.7671,0.59637,0.69026,0.38007,0.78558,0.64246,0.76826,0.7654,1.45956,0.04354,0.00264,1.07075,1.139,0.0015644,0.0015644,0.0015644
46,562.572,1.54599,0.06152,0.05802,1.06299,1.17838,0.76015,0.65363,0.72933,0.40883,0.76848,0.7371,0.80019,0.79713,1.43581,0.03936,0.00316,1.03513,1.11346,0.0015545,0.0015545,0.0015545
47,575.162,1.51249,0.05962,0.05991,1.05538,1.16453,0.76809,0.65687,0.72413,0.4058,0.79732,0.70878,0.80297,0.80107,1.40682,0.04146,0.00669,0.98413,1.10744,0.0015446,0.0015446,0.0015446
48,587.631,1.53508,0.05792,0.05628,1.07523,1.18926,0.72013,0.67877,0.72124,0.40904,0.76266,0.73324,0.79236,0.78859,1.40216,0.04105,0.0034,1.03252,1.10533,0.0015347,0.0015347,0.0015347
49,600.083,1.51474,0.05645,0.05251,1.03669,1.1871,0.76329,0.66653,0.73087,0.41386,0.80392,0.72346,0.81443,0.81229,1.40205,0.03932,0.0043,0.95536,1.1165,0.0015248,0.0015248,0.0015248
50,612.514,1.54525,0.06045,0.0585,1.05672,1.19158,0.79114,0.67737,0.74338,0.41249,0.81059,0.74712,0.81194,0.81113,1.43888,0.03823,0.00312,0.94642,1.12049,0.0015149,0.0015149,0.0015149
51,624.987,1.50944,0.05753,0.05309,1.05866,1.1841,0.78156,0.67318,0.74425,0.43024,0.82675,0.71978,0.8099,0.80819,1.38426,0.03789,0.00286,0.93225,1.11273,0.001505,0.001505,0.001505
52,637.362,1.53763,0.05618,0.05825,1.06301,1.19172,0.79046,0.68436,0.74391,0.41347,0.81543,0.71576,0.81288,0.81159,1.44538,0.03812,0.00609,1.00114,1.12358,0.0014951,0.0014951,0.0014951
53,649.978,1.49509,0.05842,0.05557,1.02659,1.17247,0.75757,0.68994,0.75044,0.44226,0.79512,0.74441,0.82494,0.82247,1.37122,0.03714,0.00334,0.92094,1.09161,0.0014852,0.0014852,0.0014852
54,662.64,1.49672,0.05764,0.0561,1.03514,1.16783,0.77619,0.67179,0.74343,0.42827,0.80163,0.72244,0.80535,0.80347,1.38273,0.03815,0.00336,0.98104,1.09542,0.0014753,0.0014753,0.0014753
55,675.19,1.50289,0.05455,0.04903,1.03299,1.15443,0.79498,0.68436,0.75648,0.43813,0.83714,0.72626,0.83077,0.82814,1.38325,0.03761,0.00408,0.9317,1.10112,0.0014654,0.0014654,0.0014654
56,687.831,1.45754,0.05136,0.05467,1.01048,1.14219,0.74677,0.67598,0.72281,0.42104,0.75994,0.71623,0.78767,0.78522,1.39734,0.04042,0.00381,1.0365,1.09105,0.0014555,0.0014555,0.0014555
57,700.373,1.46666,0.05398,0.06197,1.01221,1.14853,0.83084,0.67225,0.76966,0.44777,0.83369,0.72813,0.83255,0.83121,1.34979,0.0364,0.0036,0.90685,1.09197,0.0014456,0.0014456,0.0014456
