epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,414.602,1.31172,0.04723,0.04517,0.88252,0.98743,0.86414,0.71957,0.80452,0.51097,0.87354,0.77177,0.87259,0.86985,1.2498,0.03519,0.00476,0.90273,0.95883,0.0017426,0.0017426,0.0017426
28,429.757,1.30135,0.04444,0.04444,0.89205,1.00427,0.8776,0.74581,0.83353,0.52651,0.87903,0.79164,0.88137,0.87908,1.28303,0.03238,0.00639,0.83589,0.97071,0.0017327,0.0017327,0.0017327
29,446.893,1.31366,0.04881,0.04443,0.87765,0.98689,0.84398,0.76397,0.82966,0.52066,0.86621,0.78668,0.87472,0.87314,1.27842,0.0307,0.00547,0.85588,0.9592,0.0017228,0.0017228,0.0017228
30,463.652,1.28575,0.04201,0.04363,0.85888,0.98861,0.82738,0.75838,0.824,0.52542,0.86113,0.80168,0.88485,0.88338,1.26336,0.03205,0.00289,0.87504,0.9673,0.0017129,0.0017129,0.0017129
31,479.428,1.28493,0.04305,0.04105,0.86126,0.98818,0.83845,0.75698,0.82467,0.51435,0.83999,0.81381,0.87575,0.8745,1.25914,0.03136,0.00429,0.87384,0.96804,0.001703,0.001703,0.001703
32,494.819,1.30282,0.04189,0.05117,0.88343,0.99562,0.82421,0.76614,0.82154,0.51388,0.84172,0.79609,0.87208,0.87152,1.26873,0.02983,0.00282,0.86635,0.96021,0.0016931,0.0016931,0.0016931
33,510.016,1.2927,0.04101,0.04861,0.86751,0.99625,0.85573,0.76212,0.82687,0.51419,0.87586,0.80028,0.88446,0.88307,1.24697,0.03036,0.00393,0.86228,0.96172,0.0016832,0.0016832,0.0016832
34,525.884,1.29066,0.0406,0.04926,0.86092,0.99711,0.84107,0.74581,0.81408,0.49796,0.85713,0.77933,0.86819,0.86602,1.25129,0.03238,0.00399,0.94056,0.97023,0.0016733,0.0016733,0.0016733
35,541.557,1.26271,0.04156,0.04433,0.84381,0.98137,0.82002,0.74441,0.81659,0.49286,0.82986,0.79749,0.86583,0.86382,1.31885,0.03365,0.00298,0.94683,0.97794,0.0016634,0.0016634,0.0016634
36,557.341,1.26584,0.04092,0.03924,0.84353,0.96957,0.84056,0.76955,0.84521,0.53073,0.86425,0.82682,0.88901,0.8882,1.26861,0.02986,0.00298,0.81202,0.97728,0.0016535,0.0016535,0.0016535
